Order_Number,Sales_Date,Sales_Channel,Currency,Sales_Team_Id,Store_Id,Product_Id,Order_qty,Unit_Price,Unit_Cost
SO1,5/24/2020,Online,USD,19,362,9,8,504.25,360.18
SO2,2/16/2020,Wholesale,USD,20,334,26,5,551.55,393.96
SO3,5/30/2020,In-Store,USD,12,21,22,4,253.8,181.29
SO4,1/22/2020,Wholesale,USD,9,112,8,9,330.81,236.3
SO5,4/24/2020,Wholesale,USD,15,64,23,4,387.92,277.08
SO6,04/09/2020,Distributor,USD,6,243,14,4,322.87,230.62
SO7,5/21/2020,In-Store,USD,7,38,33,2,293.17,209.41
SO8,3/30/2020,Online,USD,21,188,15,8,273.99,195.71
SO9,05/05/2020,Wholesale,USD,26,288,28,9,499.79,356.99
SO10,03/09/2020,Wholesale,USD,19,148,13,1,288.26,205.9
SO11,4/26/2020,Online,USD,15,154,47,10,621.18,443.7
SO12,04/07/2020,Wholesale,USD,10,67,5,2,245.59,175.42
SO13,02/03/2020,Wholesale,USD,18,51,25,8,348.32,248.8
SO14,05/06/2020,In-Store,USD,15,174,43,1,575.95,411.39
SO15,1/23/2020,Wholesale,USD,21,18,4,1,383.51,273.94
SO16,1/27/2020,Online,USD,24,9,6,8,209.67,149.77
SO17,5/14/2020,Distributor,USD,21,256,46,1,323.12,230.8
SO18,2/14/2020,Wholesale,USD,10,300,18,9,173.69,124.06
SO19,04/10/2020,In-Store,USD,22,83,24,3,644.2,460.14
SO20,1/31/2020,Distributor,USD,10,45,24,6,387.17,276.55
SO21,2/22/2020,Online,USD,21,276,5,8,544.19,388.71
SO22,3/25/2020,Online,USD,9,316,23,5,380.98,272.13
SO23,1/31/2020,Distributor,USD,14,268,47,5,542.05,387.18
SO24,5/14/2020,Distributor,USD,4,356,42,5,261.71,186.94
SO25,04/12/2020,Online,USD,7,142,24,1,337.5,241.07
SO26,4/19/2020,Online,USD,24,243,34,9,370.51,264.65
SO27,3/17/2020,Wholesale,USD,4,162,1,6,586.31,418.79
SO28,05/01/2020,Wholesale,USD,3,268,35,2,215.67,154.05
SO29,04/12/2020,Distributor,USD,2,250,20,2,340.71,243.36
SO30,04/12/2020,Wholesale,USD,18,112,38,5,389.87,278.48
SO31,01/01/2020,Wholesale,USD,10,66,28,8,566.48,404.63
SO32,3/13/2020,In-Store,USD,4,275,39,10,285.54,203.95
SO33,2/25/2020,Distributor,USD,2,58,5,3,225.18,160.84
SO34,4/16/2020,Wholesale,USD,17,195,10,5,579.53,413.95
SO35,5/16/2020,In-Store,USD,6,290,16,6,593.56,423.97
SO36,1/20/2020,Distributor,USD,2,118,46,1,545.45,389.61
SO37,04/08/2020,In-Store,USD,13,180,29,8,551.27,393.77
SO38,2/29/2020,Wholesale,USD,5,231,3,7,416.98,297.84
SO39,3/13/2020,Distributor,USD,10,165,44,10,262.33,187.38
SO40,4/15/2020,In-Store,USD,11,261,6,2,614.08,438.63
SO41,02/12/2020,Distributor,USD,3,167,35,4,239.83,171.31
SO42,4/27/2020,In-Store,USD,9,216,14,3,290.22,207.3
SO43,4/18/2020,In-Store,USD,24,99,25,3,444.07,317.19
SO44,1/13/2020,Wholesale,USD,25,151,25,4,288.65,206.18
SO45,1/14/2020,Online,USD,11,48,9,5,180.97,129.26
SO46,4/18/2020,In-Store,USD,3,175,7,4,190.49,136.07
SO47,01/11/2020,Online,USD,25,38,32,9,194.43,138.88
SO48,4/17/2020,Online,USD,25,243,17,6,304.31,217.36
SO49,2/28/2020,Online,USD,25,132,4,5,455.08,325.06
SO50,3/25/2020,Wholesale,USD,1,32,27,3,534.18,381.56
SO51,3/31/2020,Wholesale,USD,25,235,19,9,299.54,213.96
SO52,02/06/2020,Online,USD,5,81,20,8,212.67,151.91
SO53,4/17/2020,Online,USD,4,163,27,4,184.1,131.5
SO54,01/01/2020,In-Store,USD,4,302,17,1,605.04,432.17
SO55,02/05/2020,In-Store,USD,19,265,22,1,434.46,310.33
SO56,04/08/2020,Distributor,USD,19,133,7,6,393.68,281.2
SO57,4/26/2020,Online,USD,6,37,42,10,514.02,367.16
SO58,02/09/2020,Online,USD,4,310,7,9,628.65,449.04
SO59,03/06/2020,Distributor,USD,8,341,1,3,454.75,324.82
SO60,03/04/2020,Online,USD,10,62,42,6,184.67,131.91
SO61,04/05/2020,Distributor,USD,9,244,25,9,207.67,148.33
SO62,03/05/2020,In-Store,USD,20,170,40,2,465.11,332.22
SO63,5/22/2020,In-Store,USD,17,147,20,9,310.43,221.74
SO64,1/17/2020,Distributor,USD,3,8,23,10,643.7,459.78
SO65,1/27/2020,In-Store,USD,6,199,30,9,380.69,271.92
SO66,1/23/2020,Online,USD,9,282,12,6,431.01,307.86
SO67,5/15/2020,Wholesale,USD,18,339,13,4,586.06,418.62
SO68,1/17/2020,Online,USD,21,141,42,4,424.1,302.93
SO69,05/06/2020,Wholesale,USD,15,335,36,1,344.87,246.34
SO70,3/16/2020,Online,USD,21,195,1,6,242.6,173.29
SO71,1/26/2020,Online,USD,20,92,37,5,160.17,114.41
SO72,04/05/2020,Wholesale,USD,11,296,16,6,291.35,208.11
SO73,3/15/2020,Distributor,USD,10,252,40,3,590.59,421.85
SO74,1/14/2020,Distributor,USD,20,124,32,6,589.28,420.92
SO75,5/19/2020,Online,USD,3,251,14,6,502.9,359.21
SO76,01/02/2020,In-Store,USD,1,71,25,1,250.13,178.67
SO77,4/19/2020,Distributor,USD,21,259,16,7,383.62,274.01
SO78,3/22/2020,Distributor,USD,23,361,8,7,323.28,230.92
SO79,03/05/2020,Wholesale,USD,19,331,9,7,579.85,414.18
SO80,1/31/2020,Wholesale,USD,14,121,8,6,303.66,216.9
SO81,02/05/2020,In-Store,USD,22,69,35,9,497.15,355.11
SO82,01/03/2020,Distributor,USD,16,41,15,10,287.63,205.45
SO83,1/30/2020,Wholesale,USD,9,12,43,7,398.28,284.48
SO84,3/22/2020,Online,USD,7,232,33,5,336.25,240.18
SO85,3/27/2020,Distributor,USD,23,164,12,2,558.02,398.59
SO86,02/02/2020,Distributor,USD,26,39,41,6,255.33,182.38
SO87,02/05/2020,Distributor,USD,1,365,17,3,169.45,121.03
SO88,4/25/2020,Online,USD,4,61,16,2,622.16,444.4
SO89,01/11/2020,Online,USD,20,305,33,8,526.28,375.91
SO90,03/06/2020,Online,USD,21,84,27,6,502.85,359.18
SO91,4/14/2020,Online,USD,11,21,15,9,598.29,427.35
SO92,2/14/2020,In-Store,USD,24,341,19,4,455.67,325.48
SO93,01/08/2020,In-Store,USD,26,342,39,6,295.89,211.35
